Query_ID,Student_Query,Department,Days_To_Deadline,Priority_Label
3489,What are university working hours?,Administration,48,Low
1171,I have not received my scholarship amount.,Administration,26,High
4746,I need a bonafide certificate.,Finance Office,1,Medium
2119,What are university working hours?,Finance Office,15,Low
3019,How to reset my university portal password?,Library,12,Medium
1195,How to join student clubs?,Examination Cell,15,Low
2246,Please share syllabus for Data Science course.,Library,34,Low
2874,How to join student clubs?,Administration,6,Low
5640,I have not received my scholarship amount.,Hostel Office,33,High
2550,Fee payment deadline is today but portal is not working.,Administration,19,High
3155,My admit card has incorrect details.,Examination Cell,47,High
94,When will the library issue new ID cards?,Administration,24,Low
2078,How to join student clubs?,Administration,34,Low
470,LMS is not allowing assignment upload.,Academic Office,47,Medium
788,What are university working hours?,Administration,41,Low
1700,When will the library issue new ID cards?,Finance Office,11,Low
1838,I cannot download my hall ticket for tomorrow's exam.,Administration,32,High
3064,How to reset my university portal password?,Finance Office,20,Medium
1707,How to join student clubs?,Library,22,Low
3968,Request for internship approval letter.,Administration,5,Medium
3863,How to reset my university portal password?,Examination Cell,54,Medium
3665,Request for internship approval letter.,Administration,3,Medium
5892,What are university working hours?,Examination Cell,40,Low
3205,My exam form is not submitted and tomorrow is the last date.,Library,31,High
605,Request for internship approval letter.,Hostel Office,37,Medium
4943,When will the library issue new ID cards?,Hostel Office,15,Low
1551,What are university working hours?,Library,45,Low
4709,When will the library issue new ID cards?,Academic Office,46,Low
4835,My exam form is not submitted and tomorrow is the last date.,Library,22,High
3186,How to join student clubs?,Library,48,Low
4387,What are university working hours?,Finance Office,19,Low
1587,My exam form is not submitted and tomorrow is the last date.,Administration,57,High
3120,Please share syllabus for Data Science course.,Academic Office,48,Low
3400,Request for internship approval letter.,Library,5,Medium
402,Please share syllabus for Data Science course.,Library,36,Low
32,I want to change my elective subject.,Hostel Office,50,Medium
1484,I have not received my scholarship amount.,IT Support,31,High
2681,Please share syllabus for Data Science course.,IT Support,22,Low
600,What is the hostel application procedure?,Examination Cell,4,Low
3150,How to join student clubs?,Finance Office,49,Low
5545,What is the hostel application procedure?,Administration,47,Low
1861,How to join student clubs?,Academic Office,60,Low
566,I cannot download my hall ticket for tomorrow's exam.,Hostel Office,1,High
2214,What is the hostel application procedure?,Administration,21,Low
1967,What is the hostel application procedure?,Library,13,Low
866,Fee payment deadline is today but portal is not working.,Hostel Office,8,High
4608,LMS is not allowing assignment upload.,Examination Cell,52,Medium
2451,Please share syllabus for Data Science course.,Administration,6,Low
5693,How to reset my university portal password?,Examination Cell,45,Medium
813,How to reset my university portal password?,Administration,59,Medium
1478,I need a bonafide certificate.,Finance Office,8,Medium
4735,I have not received my scholarship amount.,Academic Office,14,High
2272,I cannot download my hall ticket for tomorrow's exam.,Administration,24,High
1039,I need a bonafide certificate.,Examination Cell,58,Medium
4527,I have not received my scholarship amount.,Academic Office,19,High
81,I want to change my elective subject.,Examination Cell,37,Medium
1205,I have not received my scholarship amount.,Examination Cell,29,High
3286,Request for internship approval letter.,Hostel Office,45,Medium
1546,My exam form is not submitted and tomorrow is the last date.,IT Support,44,High
178,I want to change my elective subject.,Finance Office,18,Medium
2586,When will the library issue new ID cards?,Academic Office,31,Low
5993,Request for internship approval letter.,Administration,12,Medium
4864,What are university working hours?,IT Support,14,Low
1439,I have not received my scholarship amount.,IT Support,22,High
297,My admit card has incorrect details.,Administration,37,High
3616,Fee payment deadline is today but portal is not working.,IT Support,7,High
3648,My admit card has incorrect details.,Administration,22,High
158,What is the hostel application procedure?,IT Support,58,Low
1028,I have not received my scholarship amount.,Library,24,High
411,What are university working hours?,Finance Office,38,Low
3959,I need a bonafide certificate.,Academic Office,29,Medium
5938,I need a bonafide certificate.,Hostel Office,23,Medium
4957,My admit card has incorrect details.,IT Support,40,High
4757,When will the library issue new ID cards?,Academic Office,19,Low
5448,Request for internship approval letter.,Examination Cell,46,Medium
2182,I want to change my elective subject.,Library,4,Medium
5809,I need a bonafide certificate.,Hostel Office,25,Medium
811,My admit card has incorrect details.,IT Support,33,High
4916,My exam form is not submitted and tomorrow is the last date.,Administration,53,High
4954,I have not received my scholarship amount.,Library,50,High
3734,I have not received my scholarship amount.,Administration,2,High
5164,How to reset my university portal password?,Administration,40,Medium
2978,When will the library issue new ID cards?,Finance Office,23,Low
3796,When will the library issue new ID cards?,Examination Cell,13,Low
2169,I cannot download my hall ticket for tomorrow's exam.,Examination Cell,49,High
3078,My admit card has incorrect details.,IT Support,6,High
1695,I cannot download my hall ticket for tomorrow's exam.,IT Support,51,High
1025,What is the hostel application procedure?,Administration,59,Low
3947,I need a bonafide certificate.,Academic Office,46,Medium
2125,What is the hostel application procedure?,Academic Office,30,Low
5295,I cannot download my hall ticket for tomorrow's exam.,Administration,12,High
2705,I need a bonafide certificate.,Library,51,Medium
1034,What are university working hours?,Library,21,Low
5872,I want to change my elective subject.,Finance Office,9,Medium
5365,What is the hostel application procedure?,Examination Cell,31,Low
4160,My exam form is not submitted and tomorrow is the last date.,Hostel Office,32,High
1701,LMS is not allowing assignment upload.,Finance Office,50,Medium
2914,Request for internship approval letter.,Administration,30,Medium
4879,My admit card has incorrect details.,Finance Office,29,High
3321,LMS is not allowing assignment upload.,Examination Cell,44,Medium
5027,What are university working hours?,Library,36,Low
2583,I cannot download my hall ticket for tomorrow's exam.,Examination Cell,34,High
5284,My exam form is not submitted and tomorrow is the last date.,Administration,20,High
4251,How to join student clubs?,Academic Office,34,Low
1187,My admit card has incorrect details.,IT Support,26,High
3738,Please share syllabus for Data Science course.,IT Support,15,Low
784,How to reset my university portal password?,Academic Office,53,Medium
4403,I cannot download my hall ticket for tomorrow's exam.,Academic Office,56,High
51,What are university working hours?,IT Support,4,Low
713,Please share syllabus for Data Science course.,Administration,24,Low
2307,Please share syllabus for Data Science course.,Academic Office,44,Low
3868,When will the library issue new ID cards?,Administration,24,Low
2447,How to reset my university portal password?,IT Support,42,Medium
2241,When will the library issue new ID cards?,Hostel Office,2,Low
4604,Fee payment deadline is today but portal is not working.,Library,22,High
4791,LMS is not allowing assignment upload.,Examination Cell,18,Medium
3104,I want to change my elective subject.,Finance Office,21,Medium
5567,My exam form is not submitted and tomorrow is the last date.,Hostel Office,14,High
677,What are university working hours?,Academic Office,58,Low
5557,I want to change my elective subject.,Academic Office,2,Medium
3640,How to reset my university portal password?,Library,18,Medium
2695,I cannot download my hall ticket for tomorrow's exam.,Library,2,High
2996,I cannot download my hall ticket for tomorrow's exam.,Administration,42,High
1563,I want to change my elective subject.,Hostel Office,44,Medium
3650,My exam form is not submitted and tomorrow is the last date.,Administration,17,High
2466,What is the hostel application procedure?,Academic Office,41,Low
347,How to join student clubs?,IT Support,15,Low
1497,Request for internship approval letter.,Library,5,Medium
2345,How to join student clubs?,IT Support,55,Low
3906,Please share syllabus for Data Science course.,IT Support,48,Low
3659,What is the hostel application procedure?,Administration,47,Low
623,I have not received my scholarship amount.,Hostel Office,55,High
4097,Please share syllabus for Data Science course.,Hostel Office,10,Low
1401,I want to change my elective subject.,Academic Office,26,Medium
3298,When will the library issue new ID cards?,Finance Office,18,Low
3986,How to reset my university portal password?,Finance Office,24,Medium
5182,I want to change my elective subject.,Administration,25,Medium
4618,Request for internship approval letter.,Administration,47,Medium
325,My admit card has incorrect details.,Finance Office,44,High
2998,I want to change my elective subject.,Hostel Office,49,Medium
38,Please share syllabus for Data Science course.,Administration,14,Low
5375,Fee payment deadline is today but portal is not working.,IT Support,54,High
4185,My exam form is not submitted and tomorrow is the last date.,Finance Office,2,High
531,I need a bonafide certificate.,Administration,40,Medium
2643,How to reset my university portal password?,Examination Cell,18,Medium
3681,When will the library issue new ID cards?,Academic Office,32,Low
2349,Fee payment deadline is today but portal is not working.,Academic Office,56,High
2785,What is the hostel application procedure?,Finance Office,38,Low
5493,What are university working hours?,Examination Cell,43,Low
2226,What is the hostel application procedure?,Hostel Office,9,Low
1074,Fee payment deadline is today but portal is not working.,Administration,34,High
1198,I want to change my elective subject.,Examination Cell,35,Medium
5139,When will the library issue new ID cards?,IT Support,46,Low
264,I need a bonafide certificate.,Hostel Office,58,Medium
1730,My exam form is not submitted and tomorrow is the last date.,IT Support,12,High
5329,I have not received my scholarship amount.,IT Support,58,High
908,I cannot download my hall ticket for tomorrow's exam.,Finance Office,46,High
1336,What is the hostel application procedure?,IT Support,57,Low
1394,How to join student clubs?,Administration,53,Low
961,Request for internship approval letter.,Hostel Office,55,Medium
240,Please share syllabus for Data Science course.,Examination Cell,22,Low
200,When will the library issue new ID cards?,Examination Cell,38,Low
2418,LMS is not allowing assignment upload.,Administration,2,Medium
5470,LMS is not allowing assignment upload.,Administration,16,Medium
4311,I have not received my scholarship amount.,Library,20,High
4715,What are university working hours?,Administration,41,Low
5791,I cannot download my hall ticket for tomorrow's exam.,Academic Office,28,High
326,What are university working hours?,Administration,23,Low
2678,I need a bonafide certificate.,Hostel Office,50,Medium
5824,I need a bonafide certificate.,IT Support,3,Medium
4419,Request for internship approval letter.,Examination Cell,48,Medium
102,My admit card has incorrect details.,Finance Office,32,High
1738,Fee payment deadline is today but portal is not working.,Examination Cell,49,High
5262,I cannot download my hall ticket for tomorrow's exam.,Library,21,High
878,When will the library issue new ID cards?,Administration,53,Low
5893,Please share syllabus for Data Science course.,Finance Office,50,Low
409,When will the library issue new ID cards?,Hostel Office,33,Low
3746,I cannot download my hall ticket for tomorrow's exam.,Administration,37,High
1245,How to join student clubs?,Administration,17,Low
2288,Please share syllabus for Data Science course.,Administration,55,Low
1355,I cannot download my hall ticket for tomorrow's exam.,IT Support,17,High
2858,Request for internship approval letter.,IT Support,17,Medium
894,I need a bonafide certificate.,IT Support,17,Medium
1182,My exam form is not submitted and tomorrow is the last date.,IT Support,29,High
4656,I cannot download my hall ticket for tomorrow's exam.,Hostel Office,21,High
5323,My admit card has incorrect details.,Hostel Office,13,High
3699,I cannot download my hall ticket for tomorrow's exam.,Hostel Office,36,High
4467,I cannot download my hall ticket for tomorrow's exam.,Finance Office,17,High
4326,Request for internship approval letter.,Examination Cell,23,Medium
731,I need a bonafide certificate.,IT Support,28,Medium
1033,I want to change my elective subject.,Finance Office,56,Medium
3067,I need a bonafide certificate.,Library,11,Medium
5659,What are university working hours?,Administration,39,Low
4897,What is the hostel application procedure?,Administration,18,Low
978,LMS is not allowing assignment upload.,Administration,31,Medium
4970,I want to change my elective subject.,Finance Office,9,Medium
2623,My admit card has incorrect details.,Library,10,High
1226,Fee payment deadline is today but portal is not working.,Examination Cell,42,High
1210,How to reset my university portal password?,Library,24,Medium
5481,Request for internship approval letter.,IT Support,39,Medium
587,Request for internship approval letter.,Finance Office,46,Medium
5455,How to join student clubs?,Hostel Office,47,Low
2821,My admit card has incorrect details.,Finance Office,22,High
5756,How to reset my university portal password?,Library,55,Medium
2719,When will the library issue new ID cards?,Administration,52,Low
5625,Please share syllabus for Data Science course.,Finance Office,28,Low
1761,I want to change my elective subject.,Administration,52,Medium
3050,Fee payment deadline is today but portal is not working.,Finance Office,37,High
1870,When will the library issue new ID cards?,Finance Office,9,Low
1545,How to join student clubs?,Hostel Office,29,Low
473,I have not received my scholarship amount.,IT Support,58,High
5240,My admit card has incorrect details.,Academic Office,17,High
1159,My exam form is not submitted and tomorrow is the last date.,Finance Office,20,High
133,When will the library issue new ID cards?,Hostel Office,52,Low
1537,When will the library issue new ID cards?,Examination Cell,24,Low
2489,My admit card has incorrect details.,Finance Office,60,High
1633,How to reset my university portal password?,Hostel Office,24,Medium
1322,I want to change my elective subject.,Library,4,Medium
5428,My admit card has incorrect details.,Finance Office,15,High
1189,LMS is not allowing assignment upload.,Examination Cell,47,Medium
4379,When will the library issue new ID cards?,Hostel Office,30,Low
3972,LMS is not allowing assignment upload.,Finance Office,16,Medium
4817,My exam form is not submitted and tomorrow is the last date.,Administration,60,High
682,How to reset my university portal password?,Administration,30,Medium
1778,Fee payment deadline is today but portal is not working.,IT Support,32,High
4406,My admit card has incorrect details.,Library,49,High
4601,Please share syllabus for Data Science course.,Examination Cell,45,Low
4563,Fee payment deadline is today but portal is not working.,IT Support,10,High
2903,I cannot download my hall ticket for tomorrow's exam.,IT Support,24,High
5687,How to reset my university portal password?,Academic Office,24,Medium
3552,My admit card has incorrect details.,IT Support,42,High
5643,LMS is not allowing assignment upload.,Examination Cell,33,Medium
1375,What are university working hours?,Examination Cell,14,Low
1946,When will the library issue new ID cards?,Administration,23,Low
169,My admit card has incorrect details.,Finance Office,41,High
4072,Fee payment deadline is today but portal is not working.,Administration,14,High
4748,LMS is not allowing assignment upload.,Library,48,Medium
502,My admit card has incorrect details.,Administration,25,High
1804,Please share syllabus for Data Science course.,IT Support,34,Low
882,When will the library issue new ID cards?,Hostel Office,18,Low
707,What are university working hours?,Examination Cell,57,Low
3367,What is the hostel application procedure?,Academic Office,17,Low
2324,Request for internship approval letter.,Hostel Office,13,Medium
2894,Please share syllabus for Data Science course.,Academic Office,17,Low
3817,I have not received my scholarship amount.,Hostel Office,23,High
2560,My admit card has incorrect details.,Finance Office,36,High
231,What is the hostel application procedure?,IT Support,58,Low
5092,Request for internship approval letter.,Examination Cell,54,Medium
1555,My admit card has incorrect details.,Examination Cell,52,High
4240,Please share syllabus for Data Science course.,Finance Office,51,Low
5095,Please share syllabus for Data Science course.,Library,38,Low
4787,When will the library issue new ID cards?,Library,8,Low
3602,When will the library issue new ID cards?,IT Support,59,Low
5218,How to reset my university portal password?,Hostel Office,14,Medium
5076,What is the hostel application procedure?,Academic Office,34,Low
18,What are university working hours?,Finance Office,55,Low
5176,My admit card has incorrect details.,Library,33,High
2869,I cannot download my hall ticket for tomorrow's exam.,Examination Cell,31,High
1655,What is the hostel application procedure?,Library,44,Low
1130,My exam form is not submitted and tomorrow is the last date.,Academic Office,7,High
2330,How to reset my university portal password?,Administration,47,Medium
1091,Fee payment deadline is today but portal is not working.,Administration,45,High
5604,Please share syllabus for Data Science course.,Academic Office,13,Low
4459,My exam form is not submitted and tomorrow is the last date.,Academic Office,58,High
1499,How to reset my university portal password?,IT Support,35,Medium
3034,I cannot download my hall ticket for tomorrow's exam.,Administration,37,High
1882,When will the library issue new ID cards?,Examination Cell,37,Low
2663,How to join student clubs?,Hostel Office,38,Low
5114,How to join student clubs?,Academic Office,42,Low
3414,How to join student clubs?,Library,17,Low
697,What is the hostel application procedure?,Hostel Office,58,Low
4424,I have not received my scholarship amount.,IT Support,60,High
3485,What is the hostel application procedure?,IT Support,6,Low
536,Please share syllabus for Data Science course.,Library,31,Low
2628,How to join student clubs?,Academic Office,41,Low
3164,What are university working hours?,Examination Cell,14,Low
3493,My admit card has incorrect details.,Finance Office,30,High
3654,Fee payment deadline is today but portal is not working.,Library,56,High
2595,When will the library issue new ID cards?,Examination Cell,45,Low
5718,When will the library issue new ID cards?,IT Support,33,Low
5511,I cannot download my hall ticket for tomorrow's exam.,Examination Cell,24,High
1048,Please share syllabus for Data Science course.,Finance Office,10,Low
5685,I have not received my scholarship amount.,Academic Office,18,High
5019,Please share syllabus for Data Science course.,Hostel Office,30,Low
15,My exam form is not submitted and tomorrow is the last date.,IT Support,14,High
3743,Fee payment deadline is today but portal is not working.,IT Support,54,High
4308,How to join student clubs?,Hostel Office,15,Low
5874,I want to change my elective subject.,IT Support,24,Medium
2348,How to reset my university portal password?,IT Support,10,Medium
5691,What are university working hours?,Administration,21,Low
1565,What are university working hours?,IT Support,45,Low
5620,LMS is not allowing assignment upload.,Finance Office,58,Medium
1865,I need a bonafide certificate.,Finance Office,34,Medium
3095,How to join student clubs?,IT Support,25,Low
66,My exam form is not submitted and tomorrow is the last date.,Examination Cell,7,High
3404,When will the library issue new ID cards?,Hostel Office,20,Low
5410,LMS is not allowing assignment upload.,Administration,52,Medium
5855,I have not received my scholarship amount.,IT Support,56,High
2411,My exam form is not submitted and tomorrow is the last date.,Academic Office,54,High
5770,What are university working hours?,Library,56,Low
2842,I cannot download my hall ticket for tomorrow's exam.,Academic Office,47,High
2009,Please share syllabus for Data Science course.,Academic Office,59,Low
1273,Fee payment deadline is today but portal is not working.,Hostel Office,54,High
4946,Fee payment deadline is today but portal is not working.,Hostel Office,29,High
1895,How to reset my university portal password?,Library,54,Medium
4318,What is the hostel application procedure?,Academic Office,22,Low
1972,How to reset my university portal password?,Administration,36,Medium
4096,What are university working hours?,Academic Office,6,Low
89,My admit card has incorrect details.,Administration,49,High
3091,LMS is not allowing assignment upload.,Examination Cell,46,Medium
4884,What are university working hours?,Administration,16,Low
1500,Request for internship approval letter.,Library,59,Medium
2900,I need a bonafide certificate.,IT Support,42,Medium
1408,My admit card has incorrect details.,Administration,22,High
3460,I need a bonafide certificate.,IT Support,24,Medium
3671,My exam form is not submitted and tomorrow is the last date.,Examination Cell,22,High
4699,My admit card has incorrect details.,Hostel Office,26,High
5778,How to reset my university portal password?,Examination Cell,28,Medium
4504,LMS is not allowing assignment upload.,Examination Cell,25,Medium
764,What is the hostel application procedure?,Examination Cell,18,Low
1663,What is the hostel application procedure?,Administration,35,Low
421,What are university working hours?,Library,22,Low
3015,LMS is not allowing assignment upload.,IT Support,42,Medium
2585,My exam form is not submitted and tomorrow is the last date.,Examination Cell,16,High
374,I need a bonafide certificate.,Examination Cell,60,Medium
5032,I need a bonafide certificate.,Examination Cell,9,Medium
4535,What is the hostel application procedure?,Finance Office,14,Low
2374,I want to change my elective subject.,IT Support,15,Medium
2768,I need a bonafide certificate.,Finance Office,40,Medium
3362,Fee payment deadline is today but portal is not working.,Administration,13,High
1833,How to reset my university portal password?,Examination Cell,27,Medium
1621,How to reset my university portal password?,Library,48,Medium
3276,Please share syllabus for Data Science course.,Examination Cell,32,Low
539,My admit card has incorrect details.,Administration,27,High
3551,I have not received my scholarship amount.,Administration,42,High
756,My admit card has incorrect details.,Finance Office,5,High
3607,When will the library issue new ID cards?,Administration,23,Low
535,I want to change my elective subject.,Finance Office,22,Medium
1449,What is the hostel application procedure?,Academic Office,44,Low
916,When will the library issue new ID cards?,Hostel Office,27,Low
3128,Please share syllabus for Data Science course.,Academic Office,3,Low
4940,LMS is not allowing assignment upload.,Library,8,Medium
5418,Request for internship approval letter.,Academic Office,50,Medium
182,Please share syllabus for Data Science course.,Hostel Office,50,Low
1770,How to join student clubs?,Finance Office,57,Low
4610,Fee payment deadline is today but portal is not working.,Finance Office,19,High
2830,My admit card has incorrect details.,Library,37,High
3314,When will the library issue new ID cards?,Hostel Office,23,Low
5458,I have not received my scholarship amount.,IT Support,31,High
1193,When will the library issue new ID cards?,Hostel Office,16,Low
4082,Request for internship approval letter.,Finance Office,55,Medium
2128,How to join student clubs?,IT Support,2,Low
5396,I want to change my elective subject.,Administration,36,Medium
477,My exam form is not submitted and tomorrow is the last date.,Examination Cell,11,High
4921,My admit card has incorrect details.,IT Support,49,High
1324,What is the hostel application procedure?,Examination Cell,17,Low
260,My exam form is not submitted and tomorrow is the last date.,Hostel Office,46,High
280,My exam form is not submitted and tomorrow is the last date.,IT Support,14,High
562,How to reset my university portal password?,Finance Office,42,Medium
4285,My admit card has incorrect details.,Academic Office,29,High
199,What is the hostel application procedure?,Finance Office,8,Low
3930,When will the library issue new ID cards?,Academic Office,18,Low
4378,How to join student clubs?,IT Support,60,Low
2276,Fee payment deadline is today but portal is not working.,Hostel Office,45,High
1741,I cannot download my hall ticket for tomorrow's exam.,Administration,3,High
1892,My exam form is not submitted and tomorrow is the last date.,Hostel Office,57,High
1860,How to reset my university portal password?,Finance Office,16,Medium
4615,Request for internship approval letter.,Hostel Office,59,Medium
5904,How to reset my university portal password?,Examination Cell,4,Medium
3027,I have not received my scholarship amount.,Hostel Office,51,High
1384,How to reset my university portal password?,Library,42,Medium
2092,When will the library issue new ID cards?,Examination Cell,49,Low
3077,Request for internship approval letter.,Finance Office,58,Medium
4334,What is the hostel application procedure?,Administration,10,Low
3199,What are university working hours?,IT Support,31,Low
1600,My exam form is not submitted and tomorrow is the last date.,Administration,34,High
2575,I cannot download my hall ticket for tomorrow's exam.,Administration,46,High
1727,Fee payment deadline is today but portal is not working.,Examination Cell,27,High
3238,Fee payment deadline is today but portal is not working.,Administration,35,High
5247,What are university working hours?,Hostel Office,26,Low
5694,I have not received my scholarship amount.,Examination Cell,35,High
4667,When will the library issue new ID cards?,Administration,18,Low
4793,When will the library issue new ID cards?,Examination Cell,39,Low
1224,I have not received my scholarship amount.,Finance Office,46,High
1298,What is the hostel application procedure?,Finance Office,41,Low
2776,My exam form is not submitted and tomorrow is the last date.,Finance Office,60,High
16,What is the hostel application procedure?,Hostel Office,41,Low
5426,What is the hostel application procedure?,Academic Office,59,Low
352,I cannot download my hall ticket for tomorrow's exam.,Academic Office,53,High
5405,My exam form is not submitted and tomorrow is the last date.,Academic Office,55,High
1363,What is the hostel application procedure?,Library,8,Low
2171,Fee payment deadline is today but portal is not working.,Administration,13,High
2032,I have not received my scholarship amount.,Hostel Office,25,High
3814,LMS is not allowing assignment upload.,Hostel Office,51,Medium
1023,How to join student clubs?,Library,48,Low
372,My exam form is not submitted and tomorrow is the last date.,Administration,18,High
2245,How to reset my university portal password?,IT Support,14,Medium
2314,My admit card has incorrect details.,Examination Cell,58,High
5861,Please share syllabus for Data Science course.,Library,44,Low
3797,How to join student clubs?,Hostel Office,18,Low
3800,My admit card has incorrect details.,Hostel Office,39,High
5805,LMS is not allowing assignment upload.,Hostel Office,22,Medium
743,I have not received my scholarship amount.,Hostel Office,5,High
1269,Please share syllabus for Data Science course.,Academic Office,49,Low
2601,Request for internship approval letter.,Administration,30,Medium
1618,Fee payment deadline is today but portal is not working.,Examination Cell,15,High
806,What is the hostel application procedure?,Examination Cell,26,Low
4797,I cannot download my hall ticket for tomorrow's exam.,Finance Office,39,High
684,What is the hostel application procedure?,Hostel Office,59,Low
4984,My admit card has incorrect details.,Hostel Office,36,High
3560,My admit card has incorrect details.,Finance Office,42,High
3853,LMS is not allowing assignment upload.,IT Support,45,Medium
3806,My exam form is not submitted and tomorrow is the last date.,Library,40,High
5564,I have not received my scholarship amount.,Administration,56,High
4707,Request for internship approval letter.,Administration,30,Medium
4370,Please share syllabus for Data Science course.,Finance Office,60,Low
5013,How to join student clubs?,Academic Office,56,Low
3857,When will the library issue new ID cards?,IT Support,38,Low
